athlete_id,given_name,nickname,surname,suffix,athlete_gender
758,George M.,,Strange,,Male
759,William,,Wadsworth,,Male
760,Joseph George,,Wright,,Male
761,Frank,,Dunimerth,,Male
762,John,,Freitag,,Male
763,Louis G.,,Helm,,Male
764,Gustav,,Voerg,,Male
765,George,,Dietz,,Male
766,August,,Erker,,Male
767,Albert,,Nasse,,Male
768,Arthur,,Stockhoff,,Male
769,Charles,,Aman,,Male
770,Michael,,Begley,,Male
771,Martin,,Fromanack,,Male
772,Frederick,,Suerig,,Male
773,Constance,,Titus,,Male
774,Frank,,Greer,,Male
775,Clarence Olivier,,Gamble,,Male
776,Arthur Yancey,,Wear,,Male
777,Joseph Walker,,Wear,,Male
778,Allen Tarwater,,West,,Male
779,Edgar Welch,,Leonard,,Male
780,Beals Coleman,,Wright,,Male
781,Alphonzo Edward,,Bell,,Male
782,Robert,,Leroy,,Male
783,H.,,Fride,,Male
784,Charles,,Habercorn,,Male
785,H.,,Jacobs,,Male
786,Frank,,Kungler,,Male
787,Charles,,Theas,,Male
788,Patrick,,Flanagan,,Male
789,Sydney B.,,Johnson,,Male
790,Conrad,,Magnussen,,Male
791,Oscar G.,,Olson,,Male
792,H.,,Sicling,,Male
793,Max,,Braun,,Male
794,August,,Rodenberger,,Male
795,Charles,,Rose,,Male
796,William,,Seiling,,Male
797,Orrin Thomas,,Upshaw,,Male
798,Oscar Paul,,Osthoff,,Male
799,Frederick,,Winters,,Male
800,Perikles,,Kakousis,,Male
801,Gustav,,Thiefenthaler,,Male
802,Robert,,Curry,,Male
803,John,,Hein,,Male
